Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"5100 Red River Dr, Arlington, TX 76017",Arlington,2.5,3,269900,1716,76017
"2315 Redbrook Dr, Arlington, TX 76014",Arlington,2,3,225000,1492,76014
"2603 Crestmoor Ct, Arlington, TX 76016",Arlington,2,3,220000,1483,76016
"538 E Avenue J Unit B, Grand Prairie, TX 75050",Grand Prairie,2.5,2,154000,1568,75050
"6306 Innsbrooke Dr, Arlington, TX 76016",Arlington,2,3,215000,1334,76016
"1213 Columbine Ct, Arlington, TX 76013",Arlington,2,3,255000,1460,76013
"5506 Arch Bridge Ct, Arlington, TX 76017",Arlington,4.5,6,874900,4749,76017
"801 Carrington Dr, Arlington, TX 76001",Arlington,2.5,3,279000,1906,76001
"2001 Marie Weldon Ln, Arlington, TX 76001",Arlington,2.5,4,349900,2939,76001
"5702 Sagebrush Trl, Arlington, TX 76017",Arlington,2,3,294000,1716,76017
"948 Freshwood Ct, Arlington, TX 76017",Arlington,2,3,250000,1429,76017
"5302 Pocassett Dr, Arlington, TX 76018",Arlington,2.5,3,279900,1841,76018
"2708 Hilldale Blvd, Arlington, TX 76016",Arlington,2,3,200000,1376,76016
"1506 Tulip Dr, Arlington, TX 76013",Arlington,2,3,225000,1316,76013
"5808 Willow View Dr, Arlington, TX 76017",Arlington,2,3,205000,1305,76017
"705 Sendero Dr, Arlington, TX 76002",Arlington,2,3,329900,1945,76002
"6313 W Poly Webb Rd, Arlington, TX 76016",Arlington,2,2,160000,1000,76016
"2430 Whispering Creek Dr, Arlington, TX 76018",Arlington,2.5,4,285000,2322,76018
"2209 Park Hill Dr, Arlington, TX 76012",Arlington,2.5,3,350000,2272,76012
"3025 Dartmouth Dr, Irving, TX 75062",Irving,1.5,3,199000,1174,75062
"808 Olde Towne Dr, Irving, TX 75061",Irving,2.5,3,399000,2610,75061
"2639 Fountain Dr, Irving, TX 75063",Irving,6,5,1099000,4891,75063
"1704 Oak Meadow Dr, Irving, TX 75061",Irving,3,4,300000,2814,75061
"9512 Valley Lake Ln, Irving, TX 75063",Irving,2.5,4,460000,2539,75063
"302 Dakota Trl, Irving, TX 75063",Irving,2.5,3,379995,2134,75063
"9011 Corral Dr, Irving, TX 75063",Irving,2.5,4,449500,2503,75063
"4229 Madera Rd, Irving, TX 75038",Irving,2.5,2,190000,1135,75038
"421 Renaissance Ln, Irving, TX 75060",Irving,2.5,3,364900,2214,75060
"1802 Glenbrook Dr, Irving, TX 75061",Irving,2,3,265900,1772,75061
"800 Rockingham Dr, Irving, TX 75063",Irving,2.5,3,420000,2632,75063
"2504 Lasalle Dr, Irving, TX 75062",Irving,1.5,4,245000,1585,75062
"2406 Cartwright St, Irving, TX 75062",Irving,2,3,200000,1280,75062
"9409 Los  Alamos Trl, Irving, TX 75063",Irving,2.5,3,385000,1760,75063
"2107 Shumard Oak Ln, Irving, TX 75063",Irving,3.5,5,639000,4260,75063
"4015 Twin Falls St, Irving, TX 75062",Irving,3,4,215000,1855,75062
"7623 Sweetgum Dr, Irving, TX 75063",Irving,3,4,500000,3143,75063
